"","id","first","last","hand","DOB","country","year","month","day"
"1","ID","FirstName","LastName","Hand",NA,"Country",NA,NA,NA
"2","200001","Martina","Hingis","R",NA,"SUI",1980,9,30
"3","200002","Mirjana","Lucic","R",NA,"CRO",1982,3,9
"4","200003","Justine","Henin","R",NA,"BEL",1982,6,1
"5","200004","Kerry Anne","Guse","R",NA,"AUS",1972,12,4
"6","200005","Jolene","Watanabe Giltz","R",NA,"USA",1968,8,31
"7","200006","Karina","Habsudova","R",NA,"SVK",1973,8,2
"8","200007","Silvija","Talaja","R",NA,"CRO",1978,1,14
"9","200008","Alicia","Molik","R",NA,"AUS",1981,1,27
"10","200009","Tamarine","Tanasugarn","R",NA,"THA",1977,5,24
"11","200010","Rita","Grande","R",NA,"ITA",1975,3,23
"12","200011","Katarina","Srebotnik","R",NA,"SLO",1981,3,12
"13","200012","Jana","Nejedly","R",NA,"CAN",1974,6,9
"14","200013","Angelica","Gavaldon","R",NA,"MEX",1973,10,3
"15","200014","Tzipi","Obziler","R",NA,"ISR",1973,4,19
"16","200015","Petra","Mandula","R",NA,"HUN",1978,1,17
"17","200016","Sandrine","Testud","R",NA,"FRA",1972,4,3
"18","200017","Arantxa","Sanchez Vicario","R",NA,"ESP",1971,12,18
"19","200018","Julia","Abe","R",NA,"GER",1976,5,21
"20","200019","Alexandra","Fusai","R",NA,"FRA",1973,11,22
"21","200020","Lisa","Raymond","R",NA,"USA",1973,8,10
"22","200021","Alexia","Dechaume Balleret","R",NA,"FRA",1970,5,3
"23","200022","Emmanuelle","Gagliardi","R",NA,"SUI",1976,7,9
"24","200023","Bryanne","Stewart","R",NA,"AUS",1979,12,9
"25","200024","Maria","Vento Kabchi","R",NA,"VEN",1974,5,24
"26","200025","Ludmila","Cervanova","R",NA,"SVK",1979,10,15
"27","200026","Florencia","Labat","L",NA,"ARG",1971,6,12
"28","200027","Magui","Serna","L",NA,"ESP",1979,3,1
"29","200028","Maureen","Drake","R",NA,"CAN",1971,3,21
"30","200029","Lisa","Mcshea","R",NA,"AUS",1974,10,29
"31","200030","Miroslava","Vavrinec","R",NA,"SUI",1978,4,1
"32","200031","Meilen","Tu","R",NA,"USA",1978,1,17
"33","200032","Barbara","Schett","R",NA,"AUT",1976,3,10
"34","200033","Serena","Williams","R",NA,"USA",1981,9,26
